Unique_ID,dataset_id,observation_id,family,genus,species_binom,woodiness,reclass_life_history,putative_BNF,myc_type,lat_deg,long_deg,leaf_N_per_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,NP_ratio,CN_ratio,CP_ratio,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,NPP,MAT,PPT,AET,precip_seasonality,temp_seasonality
563,Schmidt_2003,Schmidt_2003_204,Boraginaceae,Coldenia,Coldenia_procumbens,0,short,0,NM-AM,-12.65,132.916667,48.6,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2766,Leigh_2006,Leigh_2006_26,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,46.64,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
1955,Schmidt_2003,Schmidt_2003_645,Fabaceae,Senna,Senna_obtusifolia,0,long,0,AM,-12.65,132.916667,46.2,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2765,Leigh_2006,Leigh_2006_25,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,45.02,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2753,Leigh_2006,Leigh_2006_07,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,44.82,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
7794,Schmidt_2003,Schmidt_2003_681,Taccaceae,Tacca,Tacca_leontopetaloides,1,long,0,AM,-12.65,132.916667,44.1,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2769,Leigh_2006,Leigh_2006_29,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,43.84,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2761,Leigh_2006,Leigh_2006_18,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,43.76,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2763,Leigh_2006,Leigh_2006_22,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,43.67,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2750,Leigh_2006,Leigh_2006_04,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,43.56,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2770,Leigh_2006,Leigh_2006_30,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,43.11,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2762,Leigh_2006,Leigh_2006_19,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,42.86,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2751,Leigh_2006,Leigh_2006_05,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,42.63,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2764,Leigh_2006,Leigh_2006_23,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,42.37,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2749,Leigh_2006,Leigh_2006_03,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,41.99,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,54.9050369,511.460144
2759,Leigh_2006,Leigh_2006_15,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,41.91,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2767,Leigh_2006,Leigh_2006_27,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,41.735,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2768,Leigh_2006,Leigh_2006_28,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,41.58,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2755,Leigh_2006,Leigh_2006_09,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,40.92,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
460,Schmidt_2003,Schmidt_2003_118,Asteraceae,Bidens,Bidens_bipinnata,0,short,0,AM,-12.65,132.916667,39.5,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2756,Leigh_2006,Leigh_2006_10,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,39.27,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2758,Leigh_2006,Leigh_2006_12,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,38.86,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
6149,Schmidt_2003,Schmidt_2003_583,Passifloraceae,Passiflora,Passiflora_foetida,1,long,0,AM,-12.65,132.916667,38.5,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
7767,Dong_2017,Dong_2017_215,Solanaceae,Solanum,Solanum_ellipticum,0,long,0,AM,-24.782,136.01,38.1796535,NA,NA,NA,NA,NA,0.024,0.024,0.5,11.712,11.751,569.053,23.082,122.238,116.066666,52.3631325,664.253967
2757,Leigh_2006,Leigh_2006_11,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,38.14,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2754,Leigh_2006,Leigh_2006_08,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,37.7,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
2760,Leigh_2006,Leigh_2006_16,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,37.38,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
7791,Schmidt_2003,Schmidt_2003_678,Taccaceae,Tacca,Tacca_leontopetaloides,1,long,0,AM,-12.65,132.916667,37.3,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
805,Schmidt_2003,Schmidt_2003_524,Cucurbitaceae,Luffa,Luffa_aegyptiaca,0,short,0,AM,-12.65,132.916667,36,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
1992,Schulze_1998,Schulze_1998_107,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-15.586667,131.116111,35.99,NA,NA,NA,NA,NA,0.087,0.047,2.749,13.726,32.508,4058.211,27.859,854.719,794.590454,119.020241,318.215607
721,Leigh_2003,Leigh_2003_09,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,35.25,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
605,Schmidt_2003,Schmidt_2003_715,Cannabaceae,Trema,Trema_tomentosa,1,long,0,AM,-12.65,132.916667,35,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
1947,Schmidt_2003,Schmidt_2003_469,Fabaceae,Indigofera,Indigofera_hirsuta,0,short,1,AM,-12.65,132.916667,34.9,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
3852,Crous_2013,Crous_2013_03,Myrtaceae,Eucalyptus,Eucalyptus_globulus,1,long,0,EcM-AM,-33.610811,150.741042,34.8199997,NA,NA,NA,NA,NA,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.466675,32.7655144,439.557282
2783,Schmidt_2003,Schmidt_2003_454,Malvaceae,Hibiscus,Hibiscus_meraukensis,0,short,0,AM,-12.65,132.916667,34.7,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
2752,Leigh_2006,Leigh_2006_06,Malvaceae,Gynatrix,Gynatrix_pulchella,1,long,0,uncertain,-35.444102,148.928462,34.6,NA,NA,NA,NA,NA,0.103,0.024,1.694,4.738,8.971,10419.737,12.885,819.514,684.25238,15.5371609,511.460144
7619,Sendall_2016,Sendall_2016_155,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,34.52,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1943,Schmidt_2003,Schmidt_2003_409,Fabaceae,Glycine,Glycine_tomentella,0,long,1,AM,-12.65,132.916667,34.4,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
3857,Crous_2013,Crous_2013_13,Myrtaceae,Eucalyptus,Eucalyptus_globulus,1,long,0,EcM-AM,-33.610811,150.741042,34.1399994,NA,NA,NA,NA,NA,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.466675,32.7655144,439.557282
1949,Schmidt_2003,Schmidt_2003_471,Fabaceae,Indigofera,Indigofera_linifolia,0,short,1,AM,-12.65,132.916667,34,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
718,Leigh_2003,Leigh_2003_06,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,33.91,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
4624,Schmidt_2003,Schmidt_2003_515,Myrtaceae,Lophostemon,Lophostemon_lactifluus,1,long,0,EcM-AM,-12.65,132.916667,33.8,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
3851,Crous_2013,Crous_2013_02,Myrtaceae,Eucalyptus,Eucalyptus_globulus,1,long,0,EcM-AM,-33.610811,150.741042,33.5,NA,NA,NA,NA,NA,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.466675,32.7655144,439.557282
2885,Sendall_2016,Sendall_2016_431,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,33.39,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1991,Schulze_1998,Schulze_1998_106,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-15.586667,131.116111,33.28,NA,NA,NA,NA,NA,0.087,0.047,2.749,13.726,32.508,4058.211,27.859,854.719,794.590454,114.576279,318.215607
198,Schmidt_2003,Schmidt_2003_733,Apocynaceae,Wrightia,Wrightia_pubescens,1,long,0,AM,-12.65,132.916667,33,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
7618,Sendall_2016,Sendall_2016_154,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,32.93,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2884,Sendall_2016,Sendall_2016_430,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,32.83,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
720,Leigh_2003,Leigh_2003_08,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,32.65,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
273,Sendall_2016,Sendall_2016_283,Araliaceae,Polyscias,Polyscias_elegans,1,long,0,AM,-28.63,153.36,32.63,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
2883,Sendall_2016,Sendall_2016_429,Meliaceae,Toona,Toona_ciliata,1,long,0,AM,-28.63,153.36,32.25,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1043,Schmidt_2003,Schmidt_2003_263,Dioscoreaceae,Dioscorea,Dioscorea_bulbifera,0,long,0,AM,-12.65,132.916667,32.2,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
1993,Schulze_1998,Schulze_1998_108,Fabaceae,Erythrophleum,Erythrophleum_chlorostachys,1,long,1,AM,-15.586667,131.116111,31.96,NA,NA,NA,NA,NA,0.087,0.047,2.749,13.726,32.508,4058.211,27.859,854.719,794.590454,119.020241,318.215607
3853,Crous_2013,Crous_2013_06,Myrtaceae,Eucalyptus,Eucalyptus_globulus,1,long,0,EcM-AM,-33.610811,150.741042,31.3500004,NA,NA,NA,NA,NA,0.149,0.033,1.27,14.027,6.643,11632,17.849,780.781,727.466675,32.7655144,439.557282
288,Sendall_2016,Sendall_2016_307,Araliaceae,Polyscias,Polyscias_murrayi,1,long,0,AM,-28.63,153.36,31.29,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
719,Leigh_2003,Leigh_2003_07,Chenopodiaceae,Maireana,Maireana_pyramidata,1,long,0,NM-AM,-35.34,142.83,31.16,NA,NA,NA,NA,NA,0.062,0.031,0.907,16.892,22.834,3456.053,17.224,283.795,269.671417,22.798336,498.335114
7617,Sendall_2016,Sendall_2016_153,Sapindaceae,Diploglottis,Diploglottis_australis,1,long,0,AM,-28.63,153.36,31.16,NA,NA,NA,NA,NA,0.215,0.031,5.562,7.307,19.544,16954.632,19.304,1515.967,1126.72852,46.4366989,365.246674
1895,Schmidt_2003,Schmidt_2003_062,Fabaceae,Acacia,Acacia_oncinocarpa,1,long,1,EcM-AM,-12.65,132.916667,31,NA,NA,NA,NA,NA,0.058,0.012,1.115,5.66,3.657,5434.158,28.155,1424.2,1119.08093,113.805107,185.657608
