taxon_name,plant_growth_form,woodiness_detailed,life_history,references
(Dockrillia pugioniformis x Dockrillia striolata) x Dockrillia pugioniformis,herb,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abelia x grandiflora,shrub,woody,perennial,scraped from online flora: species
Abelmoschus ficulneus,shrub,woody,annual,scraped from online flora: species
Abelmoschus manihot subsp. manihot,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus manihot subsp. tetraphyllus,shrub tree,woody,perennial,FoA print editions: species - FoA print
Abelmoschus manihot,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus subsp. biakensis,shrub,woody,perennial,scraped from online flora: species - WA
Abelmoschus moschatus subsp. moschatus,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus subsp. tuberosus,herb shrub,herbaceous woody,perennial,scraped from online flora: species
Abelmoschus moschatus,herb subshrub,herbaceous woody,perennial,scraped from online flora: species
Abildgaardia ovata,graminoid,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abildgaardia vaginata,graminoid,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abrodictyum brassii,fern,herbaceous,perennial,scraped from online flora: species
Abrodictyum caudatum,fern,herbaceous,perennial,scraped from online flora: species
Abrodictyum obscurum,fern,herbaceous,perennial,scraped from online flora - applied family value to individual species: family - PlantNet
Abroma molle,shrub tree,woody,perennial,scraped from online flora: species
Abrophyllum ornans var. microcarpum,shrub tree,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abrophyllum ornans var. ornans,shrub tree,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abrophyllum ornans,shrub tree,woody,perennial,scraped from online flora: species
Abrotanella forsteroides,herb,herbaceous,perennial,scraped from online flora: species
Abrotanella nivigena,herb,herbaceous,perennial,"scraped from online flora: species - FoA, Vic"
Abrotanella scapigera,herb,herbaceous,perennial,scraped from online flora: species
Abrus precatorius subsp. africanus,climber_woody,woody,perennial,scraped from online flora: species
Abrus precatorius subsp. precatorius,climber_woody,woody,perennial,scraped from online flora: species
Abrus precatorius,climber_woody,woody,perennial,scraped from online flora: species
Abutilon amplum,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon auritum,shrub,semi_woody,perennial,scraped from online flora: species
Abutilon calliphyllum,shrub,woody,perennial,scraped from online flora: species - NSW
Abutilon cryptopetalum,herb shrub subshrub,herbaceous woody,biennial perennial,scraped from online flora: species
Abutilon cunninghamii,shrub,woody,perennial,scraped from online flora: species
Abutilon fraseri subsp. diplotrichum,herb,herbaceous,perennial,scraped from online flora - applied species value to infraspecific taxon: species - Vic
Abutilon fraseri subsp. fraseri,herb shrub subshrub,herbaceous woody,perennial,scraped from online flora: species - WA
Abutilon fraseri,herb shrub subshrub,herbaceous woody,biennial perennial,scraped from online flora: species
Abutilon geranioides,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon grandifolium,shrub,woody,perennial,scraped from online flora: species
Abutilon guineense,herb,herbaceous,annual biennial short_lived_perennial,website - well referenced material: species - www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242300180
Abutilon halophilum,shrub subshrub,woody,perennial,scraped from online flora: species
Abutilon hannii subsp. prostrate (P.K.Latz 427),shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon hannii,shrub,woody,annual perennial,scraped from online flora: species
Abutilon indicum subsp. albescens,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon indicum var. australiense,shrub,woody,perennial,scraped from online flora: species - WA
Abutilon indicum,shrub,woody,perennial,scraped from online flora: species
Abutilon julianae,subshrub,woody,perennial,scraped from online flora: species
Abutilon lepidum,shrub,woody,perennial,scraped from online flora: species
Abutilon leucopetalum,shrub,woody,perennial,scraped from online flora: species
Abutilon listeri,shrub,woody,perennial,scraped from online flora: species
Abutilon macrum,shrub,woody,perennial,scraped from online flora: species
Abutilon malvifolium,shrub,woody,annual perennial short_lived_perennial,scraped from online flora: species
Abutilon micropetalum,shrub,woody,perennial,scraped from online flora: species
Abutilon otocarpum,shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum subsp. Prostrate (A.A.Mitchell PRP 1266),shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum var. incanum,herb,herbaceous,annual,scraped from online flora - applied species value to infraspecific taxon: species - annual
Abutilon oxycarpum var. oxycarpum,shrub,woody,perennial,scraped from online flora - applied species value to infraspecific taxon: species
Abutilon oxycarpum var. subsagittatum,shrub,woody,perennial,scraped from online flora: species
Abutilon oxycarpum,shrub,woody,perennial,scraped from online flora: species
Abutilon persicum,shrub,woody,perennial,website - well referenced material: species - Wikipedia
Abutilon pictum,shrub tree,woody,perennial,scraped from online flora: species
Abutilon sp. Cape Range (A.S.George 1312),shrub,woody,perennial,scraped from online flora: species - WA
