lat,lon,latlong_unique,SN_total_0_30,SP_total_0_30,SOC_total_0_30,CEC_total_0_30,AP_total_0_30,ETa,NPP,MAT_C,PPT_mm
-26.4433,114.168,-26.4433114.1681,0.042,0.035,0.617,12.240,6.643,0.671,2563.316,23.103,198.733
-27.6319,114.540,-27.6319114.54,0.042,0.017,0.656,9.012,2.164,0.879,4011.000,20.518,263.210
-24.9881,114.808,,0.032,0.026,0.602,12.046,6.136,0.733,1077.053,24.708,189.181
-24.9544,114.939,-24.9881114.8081,0.032,0.026,0.606,14.768,6.136,0.733,1077.053,24.708,189.819
-30.0453,114.963,-30.0453114.9628,0.059,0.026,1.185,7.257,7.150,NULL,8016.579,19.829,437.481
-24.5336,114.982,-24.5336114.9822,0.049,0.031,0.448,11.439,7.287,0.733,1077.053,23.999,228.248
-30.0731,114.983,-30.0731114.9825,0.069,0.021,1.739,9.935,7.150,NA,8016.579,19.829,437.481
-30.0598,114.983,-30.0598114.983,0.065,0.018,1.512,8.243,6.986,NA,8016.579,19.829,437.481
-30.0939,114.990,-30.0939114.9901,0.068,0.018,1.114,10.142,NA,NA,8016.579,19.767,446.624
-30.1067,114.997,-30.1067114.9966,0.053,0.023,0.966,12.196,NA,NA,8016.579,19.767,446.624
-30.0905,114.999,-30.0905114.9986,0.076,0.022,1.759,9.281,6.986,NA,8016.579,19.767,446.624
-30.181,115.004,-30.181115.0038,0.059,0.030,1.050,12.930,6.821,1.367,4726.842,19.804,456.619
-30.0354,115.006,-30.0354115.0055,0.061,0.017,1.507,13.966,6.150,1.367,4726.842,20.161,430.281
-30.1151,115.007,-30.1151115.0065,0.070,0.019,1.448,9.447,5.657,1.367,4726.842,20.064,443.452
-30.1646,115.008,-30.1646115.0075,0.064,0.033,1.532,9.310,6.150,1.367,4726.842,19.959,445.862
-30.2236,115.008,-30.2236115.0082,0.068,0.021,1.478,10.579,5.986,1.367,4726.842,19.564,452.681
-30.2141,115.010,-30.2141115.0104,0.076,0.022,2.039,9.362,6.986,1.367,4726.842,19.564,452.681
-30.2242,115.011,-30.2242115.0107,0.071,0.020,1.646,8.263,5.657,1.367,4726.842,19.564,452.681
-30.1703,115.012,-30.1703115.0119,0.060,0.032,1.394,8.665,5.986,1.367,4726.842,19.804,456.619
-30.063,115.012,-30.063115.012,0.081,0.020,1.519,9.323,5.986,1.367,4726.842,20.198,441.329
-30.2263,115.018,-30.2263115.0184,0.068,0.036,1.517,7.386,5.657,1.367,4726.842,19.564,452.681
-30.0276,115.039,-30.0276115.0389,0.069,0.016,1.555,8.283,7.643,1.367,4726.842,20.161,430.281
-30.2532,115.040,-30.2532115.0396,0.060,0.034,1.323,10.224,NA,1.367,4726.842,19.384,460.857
-30.2766,115.045,-30.2766115.0453,0.076,0.018,1.719,8.517,7.657,1.367,4726.842,19.639,460.557
-30.2743,115.047,-30.2743115.047,0.080,0.024,2.031,8.915,6.150,1.367,4726.842,19.639,460.557
-30.2484,115.048,-30.2484115.0483,0.063,0.023,1.462,6.197,7.643,1.367,4726.842,19.844,454.919
-30.0826,115.053,-30.0826115.0525,0.068,0.014,1.307,6.392,6.643,1.367,4726.842,20.339,442.657
