"species","genus","family"
"Amaranthus_viridis","Amaranthus","Amaranthaceae"
"Avena_barbata","Avena","Poaceae"
"Waitzia_acuminata","Waitzia","Asteraceae"
"Coldenia_procumbens","Coldenia","Boraginaceae"
"Trianthema_portulacastrum","Trianthema","Aizoaceae"
"Vulpia_myuros","Vulpia","Poaceae"
"Pycnosorus_chrysanthus","Pycnosorus","Asteraceae"
"Briza_maxima","Briza","Poaceae"
"Bidens_bipinnata","Bidens","Asteraceae"
"Cucumis_melo","Cucumis","Cucurbitaceae"
"Luffa_aegyptiaca","Luffa","Cucurbitaceae"
"Alysicarpus_vaginalis","Alysicarpus","Fabaceae"
"Actinotus_helianthi","Actinotus","Apiaceae"
"Cullen_cinereum","Cullen","Fabaceae"
"Portulaca_bicolor","Portulaca","Portulacaceae"
"Streptoglossa_cylindriceps","Streptoglossa","Asteraceae"
"Petermannia_cirrosa","Petermannia","Petermanniaceae"
"Dioscorea_transversa","Dioscorea","Dioscoreaceae"
"Asplenium_flaccidum","Asplenium","Aspleniaceae"
"Histiopteris_incisa","Histiopteris","Dennstaedtiaceae"
"Hymenophyllum_australe","Hymenophyllum","Hymenophyllaceae"
"Hymenophyllum_peltatum","Hymenophyllum","Hymenophyllaceae"
"Notogrammitis_billardierei","Notogrammitis","Polypodiaceae"
"Polyphlebium_venosum","Polyphlebium","Hymenophyllaceae"
"Drymophila_cyanocarpa","Drymophila","Luzuriagaceae"
"Lomandra_longifolia","Lomandra","Asparagaceae"
"Synoum_glandulosum","Synoum","Meliaceae"
"Asplenium_bulbiferum","Asplenium","Aspleniaceae"
"Hydrocotyle_pedicellosa","Hydrocotyle","Araliaceae"
"Cenchrus_ciliaris","Cenchrus","Poaceae"
"Aristida_calycina","Aristida","Poaceae"
"Heteropogon_contortus","Heteropogon","Poaceae"
"Themeda_triandra","Themeda","Poaceae"
"Pararchidendron_pruinosum","Pararchidendron","Fabaceae"
"Sloanea_australis","Sloanea","Elaeocarpaceae"
"Fimbristylis_dichotoma","Fimbristylis","Cyperaceae"
"Austrostipa_nitida","Austrostipa","Poaceae"
"Eragrostis_curvula","Eragrostis","Poaceae"
"Atriplex_semibaccata","Atriplex","Chenopodiaceae"
"Craspedia_aurantia","Craspedia","Asteraceae"
"Glandularia_aristigera","Glandularia","Verbenaceae"
"Plantago_euryphylla","Plantago","Plantaginaceae"
"Brachyscome_iberidifolia","Brachyscome","Asteraceae"
"Pteridium_esculentum","Pteridium","Dennstaedtiaceae"
"Imperata_cylindrica","Imperata","Poaceae"
"Triodia_scariosa","Triodia","Poaceae"
"Flagellaria_indica","Flagellaria","Flagellariaceae"
"Smilax_australis","Smilax","Smilacaceae"
"Ectrosia_leporina","Ectrosia","Poaceae"
"Eriachne_triseta","Eriachne","Poaceae"
"Sesuvium_portulacastrum","Sesuvium","Aizoaceae"
"Hibbertia_juncea","Hibbertia","Dilleniaceae"
