"","parent","node","branch.length","label","Unique_ID","dataset_id","family","genus","woodiness","reclass_life_history","putative_BNF","myc_type","lat_deg","long_deg","ln_leaf_N","ln_leaf_P","ln_leaf_C","ln_NP_ratio","ln_CN_ratio","ln_CP_ratio","SE_N","SE_P","SE_C","CV_N_sp","CV_P_sp","CV_C_sp","sd_ln_NP_sp","sd_ln_CN_sp","sd_ln_CP_sp","CV_N_gen","CV_P_gen","CV_C_gen","sd_lnNP_gen","sd_lnCN_gen","sd_lnCP_gen","CV_N_fam","CV_P_fam","CV_C_fam","sd_lnNP_fam","sd_lnCN_fam","sd_lnCP_fam","SE_ln_NP_sp","SE_ln_CN_sp","SE_ln_CP_sp","avg_leaf_N","avg_leaf_C","avg_leaf_P","avg_ar_NP_ratio","avg_ar_CN_ratio","avg_ar_CP_ratio","avg_geo_NP_ratio","avg_geo_CN_ratio","avg_geo_CP_ratio"
"1",189,1,84.763337,"Stylosanthes_hamata",1957,"Schmidt_2003","Fabaceae","Stylosanthes","0","short","1","AM",-12.65,132.9166667,3.09104245335832,NA,6.12238315437967,NA,3.03134070102136,NA,1.48323969741913,NA,13.3305138685649,0.132664991614216,NA,0.0699568992117034,NA,0.18900436926624,NA,0.132664991614216,NA,0.0699568992117034,NA,0.18900436926624,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,0.0845253235447567,NA,25,426.09,NA,NA,17.376831502,NA,NA,17.1326285131392,NA
"2",190,2,42.3816685,"Mirbelia_platylobioides",1602,"Gallagher_2018","Fabaceae","Mirbelia","1","long","1","EcM-AM",-33.57912,150.36555,2.47653840011748,-1.67131331615219,NA,4.14785171626295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249567099242311,NA,NA,NA,NA,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,NA,NA,11.9,NA,0.188,63.29787234,NA,NA,63.29787234,NA,NA
"3",190,3,42.3816685,"Mirbelia_rubiifolia",1839,"Schmidt_1997","Fabaceae","Mirbelia","1","long","1","EcM-AM",-26.9,152.9,2.83321334405622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249567099242311,NA,NA,NA,NA,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
"4",189,4,84.763337,"Hovea_linearis",1621,"Gallagher_2018","Fabaceae","Hovea","1","long","1","AM",-33.58846,151.28337,2.95491027903374,-1.1679623668029,NA,4.12287264591528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,NA,NA,19.2,NA,0.311,61.73633441,NA,NA,61.73633441,NA,NA
"5",191,5,42.3816685,"Phyllota_phylicoides",1622,"Gallagher_2018","Fabaceae","Phyllota","1","long","1","EcM-AM",-33.58846,151.28337,2.484906649788,-2.02495335639577,NA,4.50986000619377,NA,NA,1.0816653826392,0.0225,NA,0.132872297838264,0.205953431413557,NA,0.0639273787054414,NA,NA,0.118159961666944,0.125897431527404,NA,0.0492863696941794,NA,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0452034829860981,NA,NA,14.1,NA,0.1545,86.979969185,NA,NA,86.8911793100639,NA,NA
"6",191,6,42.3816685,"Phyllota_squarrosa",1603,"Gallagher_2018","Fabaceae","Phyllota","1","long","1","EcM-AM",-33.57912,150.36555,2.55722731136763,-1.83885107676191,NA,4.3960783881086,NA,NA,0.35,0.007,NA,0.0394402188709629,0.0651282561619189,NA,0.0257239084016763,NA,NA,0.118159961666944,0.125897431527404,NA,0.0492863696941794,NA,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0181895500694469,NA,NA,12.55,NA,0.152,82.63500325,NA,NA,82.621334836806,NA,NA
"7",192,7,42.3816685,"Jacksonia_dilatata",1954,"Schmidt_2003","Fabaceae","Jacksonia","1","long","1","EcM-AM",-12.65,132.9166667,2.70805020110221,NA,6.23734758539168,NA,3.52929738428947,NA,0.906917857360853,NA,0.600925212577332,0.146869288641434,NA,0.00203818472532585,NA,0.158222835926159,NA,0.354844303068616,0.392441937963208,0.0268017585121164,0.28617769448806,0.114559926336647,0.173066825495677,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,0.0913499969139139,NA,12.35,510.666666666667,NA,NA,41.00050505,NA,NA,40.6675970809639,NA
"8",192,8,42.3816685,"Jacksonia_scoparia",1333,"Bloomfield_2018","Fabaceae","Jacksonia","1","long","1","EcM-AM",-33.619,150.738,2.98512622776677,-0.438504962186365,NA,3.42363119011484,NA,NA,1.42376243079458,0.0285805786100319,NA,0.273485962590347,0.196459012014472,NA,0.24117955668645,NA,NA,0.354844303068616,0.392441937963208,0.0268017585121164,0.28617769448806,0.114559926336647,0.173066825495677,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0539293883534165,NA,NA,23.28185,NA,0.6506,36.3362776505,NA,NA,35.3538501938416,NA,NA
"9",192,9,42.3816685,"Jacksonia_floribunda",1683,"Hayes_2014","Fabaceae","Jacksonia","1","long","1","EcM-AM",-30.2950876,115.1876421,2.56355618591011,-1.29385704950696,6.17143909140492,3.85741323466006,3.60788290544952,7.46529614031689,0.253236974694223,0.0159819395151997,0.783222965155698,0.0535240689235107,0.17702213368623,0.00487448724215152,0.144252226719015,0.0527382959460278,0.173066825495677,0.354844303068616,0.392441937963208,0.0268017585121164,0.28617769448806,0.114559926336647,0.173066825495677,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,0.0480840755730052,0.0175794319820093,0.0576889418318922,14.1938185822222,482.034064044444,0.270846461666667,53.5263496111111,34.0467729622222,1827.32761544444,53.0418919313067,34.004447003157,1803.6602032992
"10",193,10,42.3816685,"Pultenaea_paleacea",1840,"Schmidt_1997","Fabaceae","Pultenaea","1","long","1","EcM-AM",-26.9,152.9,2.66025953726586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268033362508659,0.917808434374714,0.0157148749190321,0.553952411906034,0.341003615140282,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA
"11",193,11,42.3816685,"Pultenaea_villosa",2236,"Westman_1977","Fabaceae","Pultenaea","1","long","1","EcM-AM",-27.5,153.5,3.25809653802148,-0.105360515657826,NA,3.36345705371777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268033362508659,0.917808434374714,0.0157148749190321,0.553952411906034,0.341003615140282,NA,0.28281919967697,0.628633727057499,0.0714972632801905,0.461146900436115,0.345639255213832,0.530079004125326,NA,NA,NA,26,NA,0.9,28.88888889,NA,NA,28.88888889,NA,NA
